first_name,company_name,email,city,state,website,source_url,score,quality_confidence,personalization_note,status
Charles,"Bennett Legal (Charles Bennett Law, PLLC d/b/a Bennett Legal)",info@bennettlegal.com,Dallas,TX,https://bennettlegal.com,https://bennettlegal.com/goodleap/,100,high,"Represents homeowners against GoodLeap, Sunlight Financial, Solar Mosaic and Dividend Solar. Site cites a $113,000 Sunlight Financial loan cancelled plus $58,000 cash paid to one client, and separately cites the Georgia GoodLeap arbitration win (~$13,000 damages, $90,000 loan cancelled, fees shifted",needs_verification
Scott,Consumer Advocacy Law Group,clientservices@consumeradvocacylaw.com,Las Vegas,NV,https://consumeradvocacylaw.com/,https://consumeradvocacylaw.com/services/,100,high,Services page states: 'We are pioneering a very specialized area in law helping home owners who have been taken advantage of in believing that contracting for a solar system was going to eliminate their electrical bill.' Offers a flat-fee structure with monthly payment plans specifically for solar c,duplicate_review
Philip,"Silberman Law Firm, PLLC",info@silblawfirm.com,Dallas,TX,silblawfirm.com,https://silblawfirm.com/litigation/understanding-legal-actions-against-solar-panel-companies-in-texas/,100,high,"Firm publishes one litigation explainer article, 'Cases Against Solar Panel Companies in Texas,' walking homeowners through fraud/misrepresentation, DTPA, and breach-of-contract claims against solar companies ('Homeowners often report that the sales representatives made exaggerated claims about the",needs_verification
Charles,The Moster Law Firm,jcrites@themosterlawfirm.com,Dallas,TX,https://www.themosterlawfirm.com,https://www.themosterlawfirm.com/solar-panel-lawyers/,100,high,"Represents Texas homeowners for fraudulent/deficient solar installations under the Texas Deceptive Trade Practices Act (treble damages) and breach of contract, and explicitly discusses complications from compelled arbitration clauses and 'third-party lender liability.' No specific named lender or do",needs_verification
Estefan,Defiant Law,frontdesk@defiant-law.com,Rancho Cucamonga,CA,https://www.defiant-law.com,https://www.defiant-law.com/solarpanellitigation,100,high,"Markets a dedicated 'Solar Panel Litigation' practice targeting deceptive sales, misrepresentations, and unfair lending 'by solar companies and lenders.' Page describes handling disputes against solar companies and lenders generically; no specific named lender defendant or dollar case result was fou",needs_verification
Cary,"Flitter Milz, P.C.",consumers@ConsumersLaw.com,Philadelphia,PA,https://www.consumerslaw.com,https://www.consumerslaw.com/solar-panel-fraud,100,high,"Firm maintains a dedicated 'Solar Panel Fraud' practice page describing itself as 'a leading authority nationwide in representing victims of solar panel sales fraud.' The page cites federal court rulings involving Vivint Solar, including a New Jersey case allowed to proceed to trial on ID theft/cred",duplicate_review
Joshua,Joshua Horton Law,info@joshuahortonlaw.com,Jupiter,FL,https://joshuahortonlaw.com,https://joshuahortonlaw.com/legal-against-dividend-finance-in-the-minnesota-attorney-generals-lawsuit-class-action-lawsuit/,100,high,"Represents homeowners against Dividend Finance, citing an active case (Khan v. Affordable Solar Roof & Air LLC and Dividend Finance Inc.) and discussing the Minnesota AG action against Dividend; blog also references Solar Mosaic, Fifth Third Bank and Vision Solar. Uses a dedicated solar@ intake emai",needs_verification
Balam,Letona Law (Law Office of Balam O. Letona),info@letonalaw.com,Santa Cruz,CA,https://www.letonalaw.com/,https://www.letonalaw.com/solar-panel-fraud/,100,high,"Dedicated solar panel fraud practice page and FAQ identifying five fraud red flags (unqualified contractors, deceptive government-incentive claims, rushed contract signing, forged e-signatures, incorrect email insertion in DocuSign forms). Attorney states 'more than two decades of experience in cons",needs_verification
,"Mubarak, Sherif & Oladipo, PLLC (MSO Law)",info@mso.law,Tampa,FL,https://mso.law,https://mso.law/practice-areas/solar-panel-disputes-attorney-in-florida/,100,high,"Dedicated practice-area page states the firm ""represents Florida homeowners who believe they may have been harmed by solar companies through deceptive financing practices or negligent installation.""",needs_verification
Peng,R23 Law APC,info@R23Law.com,Los Angeles,CA,https://www.r23law.com/,https://www.r23law.com/articles/home-solar,100,high,"Firm published a dedicated article ('Tricked by Home Solar Sales? Turning the Tables on Unfair Practices with Available Legal Remedies') that applies the CLRA, Home Solicitation Sales Act, TILA, and specifically the FTC Holder Rule to solar sales scenarios -- demonstrating exactly the legal-theory f",needs_verification
