first_name,company_name,email,city,state,website,source_url,score,quality_confidence,personalization_note,status,contact_name,contact_title,email_type,attorney_headcount,contact_form_url,phone,tier,opportunity_type,contact_rationale,email_status,email_superseded,email_obfuscated,contact_note
Charles,"Bennett Legal (Charles Bennett Law, PLLC d/b/a Bennett Legal)",info@bennettlegal.com,Dallas,TX,https://bennettlegal.com,https://bennettlegal.com/goodleap/,100,high,"No email address is displayed anywhere in the crawled content, forcing all contact through the intake form; the retired solarpanelfraud.org microsite now just redirects rather than being maintained as a distinct asset, so any inbound links/domain equity it built are only partially captured; case-res",needs_verification,Charles A. Bennett,Founder,general,"2 (Charles A. Bennett, Founder; Richard Faulkner, Of Counsel)",https://bennettlegal.com/contact/,(972) 972-4969,A,warm_buyer,solo/small firm (1-5 attorneys) - founding partner is the marketing spend decision-maker,verified_on_site,,,"No direct/personal email published anywhere checked (contact, team, and founder bio pages); only the general info@bennettlegal.com inbox appears in mailto links and page text. No application/ld+json Person schema with an email was found."
Scott,Consumer Advocacy Law Group,clientservices@consumeradvocacylaw.com,Las Vegas,NV,https://consumeradvocacylaw.com/,https://consumeradvocacylaw.com/services/,100,high,Services page states: 'We are pioneering a very specialized area in law helping home owners who have been taken advantage of in believing that contracting for a solar system was going to eliminate their electrical bill.' Offers a flat-fee structure with monthly payment plans specifically for solar c,duplicate_review,,,,,,(888) 478-2618,A,warm_buyer,,,,,
Philip,"Silberman Law Firm, PLLC",info@silblawfirm.com,Dallas,TX,silblawfirm.com,https://silblawfirm.com/litigation/understanding-legal-actions-against-solar-panel-companies-in-texas/,100,high,"Solar has zero presence in primary navigation or as a named practice area despite the firm operating real offices in both Dallas and Fort Worth (two of the four DFW cities with the highest solar-lien concentration per Bennett Legal's public filing review); the one solar article is an isolated, un-li",needs_verification,,,,,,214-307-2840,A,warm_buyer,,,,,
Charles,The Moster Law Firm,jcrites@themosterlawfirm.com,Dallas,TX,https://www.themosterlawfirm.com,https://www.themosterlawfirm.com/solar-panel-lawyers/,100,high,"Solar content is split across at least three overlapping URLs (/solar-panel-lawyers/, /solar-panel-scams-and-solar-fraud/, /texas-energy/solar-energy/) with duplicative copy instead of one authoritative page, which dilutes ranking signal and creates a confusing user path; no FAQ or video content on",needs_verification,Charles A. Moster,Founder & Managing Partner,general,"17 (per the firm's own bio copy: ""the Firm's 17 attorneys""); site lists ~25+ named attorneys/staff across 7 Texas offices (Dallas, Houston, Austin, Midland, Lubbock, Amarillo, Abilene) — larger than the 1-attorney worklist entry suggests",https://www.themosterlawfirm.com/contact-us/,806-412-5150,A,warm_buyer,"Founder and Managing Partner, named as such on the firm's own Principals page; sole controlling principal of the firm",verified_on_site,,,"Firm is larger than the worklist implies (17+ attorneys across multiple TX offices, not 1). Only a single shared contact address (jcrites@themosterlawfirm.com) is published sitewide, rendered as a malformed href (href=""http://jcrites@themosterlawfirm.com"", not a real mailto:) on every page's phone/email icon -- same address already on file as current_email. No individual attorney direct emails found on any bio page, including Charles Moster's own. No marketing/BD/client-services title found anywhere on the site."
Estefan,Defiant Law,frontdesk@defiant-law.com,Rancho Cucamonga,CA,https://www.defiant-law.com,https://www.defiant-law.com/solarpanellitigation,100,high,No blog or FAQ section identified on the dedicated solar litigation page itself.,needs_verification,Estefan Encarnación,Founder,general,1 named attorney found (Estefan Encarnación),https://www.defiant-law.com/contact,(909) 581-4351,A,warm_buyer,solo/small firm - identified as founder in the firm's own schema.org LegalService markup,verified_on_site,,,Estefan Encarnacion's title as 'founder' comes from application/ld+json schema.org markup on /about and /contact (not visibly rendered as a title elsewhere on the page) - this counts as published per instructions but is worth noting. No personal/direct email found for him; only frontdesk@ and info@ general inboxes appear as mailto links.
Cary,"Flitter Milz, P.C.",consumers@ConsumersLaw.com,Philadelphia,PA,https://www.consumerslaw.com,https://www.consumerslaw.com/solar-panel-fraud,100,high,The dedicated solar microsite lists a different phone number ((610) 822-0785) than the main site's regional numbers -- inconsistent NAP (name/address/phone) across a firm's own properties can dilute local SEO signal.,duplicate_review,,,,,,888-668-1225,A,warm_buyer,,,,,
Joshua,Joshua Horton Law,info@joshuahortonlaw.com,Jupiter,FL,https://joshuahortonlaw.com,https://joshuahortonlaw.com/legal-against-dividend-finance-in-the-minnesota-attorney-generals-lawsuit-class-action-lawsuit/,100,high,"The Freedom Forever post's own URL slug is malformed ('when-the-sun-sets-on-a-promisefreedom-forevers-bankruptcy-andwhat-homeowners-must-know' is missing separators between 'promise' and 'freedom' and between 'and' and 'what'), a basic technical-SEO defect that likely weakens how the URL and title a",needs_verification,,,,,,(561) 440-5211,A,warm_buyer,,,,,
Kristin,"Kemnitzer, Barron & Krieg, LLP",kristin@kbklegal.com,San Francisco,CA,https://www.kbklegal.com,https://www.kbklegal.com/resources/news-insights/upgrade-inc-solar-loan-investigation/,100,high,"Solar content lives as a subpage under the general /practice-areas/ section of the main firm domain rather than as a standalone property, so it competes for authority with the rest of the firm's general consumer-law content.",duplicate_review,Kristin Kemnitzer,Managing Partner,decision_maker_direct,6,https://www.kbklegal.com/contact-us/,(800) 520-4525,A,warm_buyer,Mid-size firm (6 attorneys); Managing Partner has a direct published email and no dedicated marketing role exists at the firm,verified_on_site,,,Bryan Kemnitzer is a retired founding partner (no email listed for him). No general/info email is published anywhere on the site; only Kristin Kemnitzer's bio page shows a direct email.
Balam,Letona Law (Law Office of Balam O. Letona),info@letonalaw.com,Santa Cruz,CA,https://www.letonalaw.com/,https://www.letonalaw.com/solar-panel-fraud/,100,high,"Dedicated solar panel fraud practice page and FAQ identifying five fraud red flags (unqualified contractors, deceptive government-incentive claims, rushed contract signing, forged e-signatures, incorrect email insertion in DocuSign forms). Attorney states 'more than two decades of experience in cons",needs_verification,Balam O. Letona,"Attorney (sole practitioner; the firm is named ""Law Office of Balam O. Letona"")",general,1 (solo practice),https://www.letonalaw.com/contact-us/,(831) 421-0200,A,warm_buyer,Solo practice bearing his own name; he is the firm's only attorney and owner,verified_on_site,,yes - consider calling instead,No individual/personal email published for Balam Letona; only the shared info@letonalaw.com address appears sitewide via mailto: link (matches current_email on file). No obfuscation encountered. No formal title beyond 'Attorney'/'Mr. Letona' is published.
Mohammad,"Mubarak, Sherif & Oladipo, PLLC (MSO Law)",mmubarak@mso.law,Tampa,FL,https://mso.law,https://mso.law/practice-areas/solar-panel-disputes-attorney-in-florida/,100,high,No blog/FAQ content embedded directly on the solar practice page despite an 'Insights' nav link elsewhere on the site -- the dedicated page has no supporting on-page content beyond the core pitch.,needs_verification,Mohammad Mubarak,"Esq., Co-Founder / Partner (Personal Injury & Property Loss Attorney)",decision_maker_direct,"3 (Mohammad Mubarak - co-founder, Mohammad Sherif - co-founder, A. Abidemi Oladipo - partner)",https://mso.law/contact/,(888) 797-7669,A,warm_buyer,small firm (3 named partners); listed first in the firm name and confirmed as one of the firm's two founders per the firm-overview page text,verified_on_site,info@mso.law,yes - consider calling instead,All three attorney bio pages publish direct personal emails as plain mailto: links (no obfuscation). Firm-overview page text names Sherif and Mubarak as 'the firm's two founders' - Oladipo appears to be a partner but not explicitly called a co-founder. Either Mubarak or Sherif would be a reasonable decision-maker contact; both have verified direct emails.
